group,method,type,parameter_choice,result_comment
Baseline,SeasonalNaive_24,Суточный сезонный бейзлайн,Использует значение из такого же часа предыдущих суток; выбран из-за суточной сезонности.,MAE=377.52 на задаче №2; сильный простой ориентир.
Statistical,AutoARIMA_24,Автоматическая ARIMA,"Проверяет, даёт ли авто-подбор ARIMA улучшение относительно бейзлайна.",MAE=378.52; качество близко к SeasonalNaive_24.
Statistical,SeasonalWindowAverage_24_7,Сезонное скользящее среднее,Усредняет несколько прошлых сезонных периодов; устойчиво на скользящих окнах.,Лучшее по бектестингу задачи №2: MAE=435.71.
Statistical,ARIMA_manual,Ручная ARIMA,Ручной параметрический статистический метод для проверки интерпретируемой модели.,MAE=427.23 на тесте задачи №2.
Statistical,Theta_manual / AutoTheta_24,Theta,Классический статистический подход с ручной и автоматической настройкой.,Уступил ARIMA и сезонным бейзлайнам.
Statistical,AutoETS_24,ETS,Автоматическая экспоненциальная сглаживающая модель.,Показала слабое качество для данного ряда.
ML,MLForecast_Ridge_lags,Линейная ML-модель,"Проверяет, достаточно ли линейной зависимости от лаговых и календарных признаков.","MAE=351.42; лучше бейзлайна, хуже ансамблей."
ML,MLForecast_RandomForest_lags,Случайный лес,Учитывает нелинейности и взаимодействия признаков.,MAE=291.51; сильная альтернатива.
ML,MLForecast_GradientBoosting_lags,Градиентный бустинг,Итоговый выбор: хорошо работает с лагами и нелинейностями.,MAE=278.61; лучший ML/DL результат.
DL,Neural_MLP_small,Небольшая MLP,Проверяет базовую нейросетевую архитектуру.,Значительно уступила ML-моделям.
DL,Neural_MLP_deep,Глубокая MLP,Проверяет эффект увеличения глубины.,"Показала нестабильное качество, требует настройки."
DL,Neural_MLP_wide,Широкая MLP,Проверяет эффект увеличения ширины сети.,"Лучшая из MLP, но хуже ML-моделей."
